"","pid","age_pre","gender_pre","migration_pre","language_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_t_pre","ges_invalid_pre","klassenstufe.x","age_post","gender_post","migration_post","language_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_t_post","ges_invalid_post","klassenstufe.y","klassenstufe_post","dummy_foerderung"
"21",6001203,6,2,3,3,34,32,12,12,36,50,10,3,39,54,11,2,35,0,2,8,NA,3,3,25,25,11,10,32,48,15,5,42,58,18,6,31,0,2,2,0
"22",6001204,6,2,1,1,36,38,17,14,27,26,1,0,54,66,20,7,38,0,2,7,2,1,1,31,34,21,17,38,37,9,8,34,49,12,3,32,0,2,2,1
"23",6001206,8,2,1,2,43,41,20,20,36,36,4,3,33,38,3,1,36,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"24",6001208,7,2,3,2,48,47,25,25,43,41,6,6,43,46,6,3,44,0,2,8,2,3,2,45,45,33,31,46,45,13,13,40,41,8,5,43,0,2,2,0
"25",6001209,7,2,3,1,38,41,20,16,27,38,5,0,43,53,10,3,34,0,2,8,3,1,2,38,40,27,24,36,37,9,7,26,25,1,1,31,0,2,2,1
"26",6001210,7,2,1,1,39,39,18,17,27,25,0,0,25,25,0,0,28,0,2,8,2,1,1,49,48,36,36,50,48,15,15,42,49,12,6,47,0,2,2,1
"27",6001211,7,2,2,1,44,42,21,21,52,52,11,10,52,54,11,6,49,0,2,8,2,2,1,49,48,36,36,60,59,22,22,49,57,17,9,53,0,2,2,0
"28",6001212,NA,2,3,3,25,25,5,3,27,30,2,0,25,46,6,0,25,0,2,8,2,3,NA,25,54,43,11,25,25,0,0,25,25,0,0,25,1,2,2,0
"29",6001214,8,2,1,1,41,39,18,18,33,41,6,2,25,25,0,0,31,1,2,8,2,1,1,68,71,62,58,26,30,5,1,25,25,0,0,38,0,2,2,0
"30",6001215,7,2,1,1,68,67,47,47,41,41,6,5,46,46,6,4,52,0,2,8,2,1,3,46,45,33,33,46,45,13,13,42,45,10,6,44,0,2,2,0
