"","pid","treat","treat_drop","age_pre","migration_pre","language_pre","gender_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_pre","ges_invalid_pre","age_post","migration_post","language_post","gender_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_post","ges_invalid_post","klassenstufe"
"152","d416",1,0,8,NA,1,1,38,36,25,25,31,29,5,5,36,35,6,4,33,0,9,1,1,1,38,37,32,32,41,39,15,15,34,38,10,5,36,0,3
"153","d417",0,0,8,NA,1,2,48,48,38,36,40,39,11,10,41,44,10,6,42,0,9,2,1,2,50,50,46,46,45,44,18,18,34,42,12,5,42,0,3
"154","d418",0,0,8,2,2,2,52,51,41,41,53,51,18,18,43,46,11,7,49,0,9,2,2,2,54,54,51,51,53,52,23,23,40,47,15,8,49,0,3
"155","d419",0,0,8,1,1,1,48,47,36,36,61,59,23,23,48,54,16,9,53,0,9,1,1,1,60,60,58,58,60,59,27,27,46,57,21,11,56,0,3
"156","d420",0,0,9,3,2,1,47,46,35,35,41,39,11,11,41,42,9,6,42,0,9,3,2,1,45,45,41,40,48,47,20,20,38,42,12,7,43,0,3
"157","e101",0,0,8,1,1,1,56,56,46,46,53,51,18,18,46,52,15,8,52,0,8,1,1,1,55,56,53,52,57,55,25,25,44,57,21,10,52,0,3
"158","e102",1,0,8,1,1,1,42,44,33,30,38,36,9,9,39,40,8,5,38,0,9,1,1,1,49,50,46,45,48,47,20,20,36,47,15,6,44,0,3
"159","e103",1,0,9,1,2,2,44,44,33,32,40,38,10,10,36,44,10,4,39,0,9,1,1,2,43,43,38,37,41,39,15,15,38,42,12,7,39,0,3
"160","e104",1,0,8,2,1,2,41,42,31,29,45,45,14,13,39,38,7,5,41,0,9,2,1,2,42,42,37,36,42,42,17,16,36,40,11,6,39,0,3
"161","e105",0,0,8,1,1,1,55,54,44,44,53,51,18,18,54,55,17,12,54,0,9,2,1,1,48,47,43,43,53,54,24,23,42,52,18,9,47,0,3
"162","e106",0,1,8,NA,2,2,42,42,31,30,41,39,11,11,25,25,0,0,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"163","e108",0,0,8,2,1,2,57,57,48,47,58,56,21,21,48,55,17,9,55,0,9,2,2,2,59,58,56,56,60,59,27,27,46,59,22,11,56,0,3
"164","e109",0,0,8,1,1,1,42,42,31,30,49,50,17,16,41,47,12,6,43,0,9,1,1,1,48,47,43,43,50,49,21,21,40,50,17,8,45,0,3
"165","e110",1,0,9,2,2,1,29,27,16,16,26,26,3,2,25,25,2,1,25,0,10,3,1,1,30,29,22,22,25,27,6,3,26,25,3,2,25,0,3
"166","e111",0,0,8,3,2,1,48,48,38,36,46,46,15,14,46,55,17,8,46,0,9,3,2,1,51,50,47,47,47,49,21,19,38,44,13,7,45,0,3
