"","pid","age_pre","migration_pre","language_pre","gender_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_pre","ges_invalid_pre","age_post","migration_post","language_post","gender_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_post","ges_invalid_post","treat","treat_drop","Uni","klassenstufe"
"11","a311",9,3,2,1,47,47,36,35,48,46,15,15,41,46,11,6,45,0,10,3,2,1,50,50,46,46,53,52,23,23,42,50,17,9,48,0,0,0,"ka",3
"12","a312",8,3,2,1,48,47,36,36,56,54,20,20,43,51,14,7,49,0,8,3,2,1,55,55,52,52,62,61,28,28,46,57,21,11,55,0,0,0,"ka",3
"13","a314",8,3,2,2,55,54,44,44,53,51,18,18,43,49,13,7,50,0,9,2,2,2,49,49,45,45,50,50,22,21,36,44,13,6,44,0,0,0,"ka",3
"14","a315",8,3,2,2,46,46,35,34,38,39,11,9,36,46,11,4,39,0,9,3,3,2,51,50,47,47,47,45,19,19,40,55,20,8,45,0,0,0,"ka",3
"15","a316",9,1,1,2,47,47,36,35,46,45,14,14,41,47,12,6,44,0,9,3,1,2,46,46,42,41,42,45,19,16,40,49,16,8,42,0,0,0,"ka",3
"16","a317",8,1,2,2,48,48,38,36,51,50,17,17,43,47,12,7,47,0,9,1,1,2,53,52,49,49,50,50,22,21,42,50,17,9,48,0,0,0,"ka",3
"17","a401",9,1,1,2,50,53,43,39,38,36,9,9,36,38,7,4,40,0,9,1,1,2,42,41,36,36,41,42,17,15,36,45,14,6,38,0,1,0,"ka",3
"18","a402",9,2,1,2,65,67,60,57,56,59,23,20,48,57,18,9,57,0,10,2,2,2,62,62,60,60,53,55,25,23,42,55,20,9,53,0,0,0,"ka",3
"19","a403",8,3,2,1,50,49,39,39,53,51,18,18,46,47,12,8,50,0,9,2,2,1,54,53,50,50,55,54,24,24,42,50,17,9,50,0,0,0,"ka",3
"20","a404",8,3,2,1,49,48,37,37,40,38,10,10,39,38,7,5,42,0,9,3,2,1,53,52,49,49,52,50,22,22,44,47,15,10,50,0,1,0,"ka",3
"21","a405",8,3,2,1,51,50,40,40,38,36,9,9,39,42,9,5,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ka",3
"22","a406",9,1,1,2,58,57,48,48,40,38,10,10,39,42,9,5,45,0,9,1,1,2,55,55,52,52,50,49,21,21,42,50,17,9,49,0,0,0,"ka",3
"23","a407",8,3,3,1,55,55,45,44,43,41,12,12,39,46,11,5,45,0,9,3,3,1,50,50,46,46,45,47,20,18,40,54,19,8,44,0,0,0,"ka",3
"24","a408",9,1,1,2,43,44,33,31,45,43,13,13,39,40,8,5,41,0,10,1,1,2,46,45,41,41,39,38,14,14,36,40,11,6,39,0,0,0,"ka",3
"25","a409",9,1,1,2,49,48,37,37,40,38,10,10,41,44,10,6,42,0,9,3,1,2,59,59,57,56,39,39,15,14,42,50,17,9,46,0,0,0,"ka",3
"26","a411",8,2,1,2,46,47,36,34,36,34,8,8,36,40,8,4,38,0,9,2,1,2,47,46,42,42,45,44,18,18,40,50,17,8,43,0,1,0,"ka",3
"27","a412",8,1,2,2,61,61,52,52,45,45,14,13,46,47,12,8,51,0,9,1,2,2,62,64,62,60,52,57,26,22,25,25,0,0,46,1,0,0,"ka",3
"28","a413",8,1,1,1,44,43,32,32,43,43,13,12,43,47,12,7,42,0,9,1,1,1,48,47,43,43,45,44,18,18,34,40,11,5,41,0,0,0,"ka",3
"29","a414",8,3,1,2,53,52,42,42,45,45,14,13,39,40,8,5,45,0,9,3,1,2,52,51,48,48,44,42,17,17,40,45,14,8,45,0,0,0,"ka",3
"30","a415",8,3,2,1,49,49,39,38,38,38,10,9,43,46,11,7,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ka",3
"31","a416",8,3,3,2,58,57,48,48,40,38,10,10,46,47,12,8,48,0,9,2,2,2,61,63,61,59,57,55,25,25,44,52,18,10,54,0,0,0,"ka",3
"32","a417",8,3,3,1,33,33,21,20,28,29,5,3,33,40,8,3,29,0,8,3,3,1,32,33,27,25,31,31,9,8,38,42,12,7,32,0,1,0,"ka",3
"33","c201",8,1,1,1,52,51,41,41,51,50,17,17,46,52,15,8,50,0,9,1,1,1,55,55,52,52,55,54,24,24,42,52,18,9,51,0,0,0,"ka",3
"34","c202",9,3,1,1,42,42,31,30,38,36,9,9,36,42,9,4,37,0,10,3,2,1,45,45,41,40,35,35,12,11,36,44,13,6,37,0,0,0,"ka",3
"35","c203",8,1,1,1,37,35,24,24,43,41,12,12,41,46,11,6,39,0,8,1,1,1,42,41,36,36,48,47,20,20,42,52,18,9,43,0,0,0,"ka",3
"36","c204",8,1,1,1,46,45,34,34,40,39,11,10,39,42,9,5,41,0,9,1,1,1,53,53,50,49,45,44,18,18,40,45,14,8,45,0,0,0,"ka",3
"37","c205",8,3,3,1,32,32,20,19,30,29,5,4,39,40,8,5,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ka",3
"38","c206",9,3,2,1,48,48,38,36,38,36,9,9,36,35,6,4,39,0,10,3,3,1,50,51,48,46,47,47,20,19,42,50,17,9,46,0,0,0,"ka",3
"39","c207",10,2,2,2,46,47,36,34,45,46,15,13,36,57,18,4,41,0,10,2,3,2,49,49,45,45,36,39,15,12,26,36,9,2,35,0,0,0,"ka",3
"40","c208",9,3,3,2,55,55,45,44,56,54,20,20,48,55,17,9,53,0,9,3,3,2,54,54,51,51,55,54,24,24,42,52,18,9,50,0,0,0,"ka",3
"41","c209",8,3,3,2,40,42,31,27,31,36,9,5,33,47,12,3,33,0,9,3,3,2,49,50,46,45,44,49,21,17,38,52,18,7,43,0,1,0,"ka",3
"42","c210",8,1,NA,2,49,48,37,37,43,43,13,12,41,46,11,6,44,0,9,1,1,2,52,51,48,48,48,50,22,20,40,42,12,8,46,0,0,0,"ka",3
"43","c211",8,1,1,2,45,45,34,33,46,46,15,14,41,46,11,6,43,0,9,1,1,2,51,50,47,47,45,44,18,18,42,49,16,9,45,0,0,0,"ka",3
"44","c212",8,3,2,2,56,58,49,46,58,56,21,21,50,57,18,10,55,0,9,3,2,2,61,61,59,59,60,59,27,27,50,63,24,13,58,0,0,0,"ka",3
"45","c213",8,2,2,2,49,48,37,37,36,34,8,8,39,42,9,5,40,0,9,2,2,2,53,52,49,49,48,47,20,20,40,45,14,8,47,0,0,0,"ka",3
"46","c214",9,2,NA,2,60,59,50,50,64,62,25,25,48,57,18,9,58,0,9,2,2,2,62,62,60,60,58,57,26,26,46,59,22,11,56,0,0,0,"ka",3
"47","c215",9,NA,1,2,36,35,24,23,31,29,5,5,30,25,2,2,30,0,10,1,1,2,40,39,34,34,34,32,10,10,34,36,9,5,34,0,1,0,"ka",3
"48","c217",8,1,1,2,38,36,25,25,54,53,19,19,48,55,17,9,46,0,9,1,1,2,55,56,53,52,57,55,25,25,50,63,24,13,54,0,0,0,"ka",3
"49","c218",9,3,3,2,44,45,34,32,25,29,5,1,33,38,7,3,32,0,10,3,3,2,47,46,42,42,41,39,15,15,36,42,12,6,40,0,0,0,"ka",3
"50","c219",8,2,1,2,55,55,45,45,56,54,20,20,54,62,21,12,56,0,9,2,1,2,60,62,60,58,62,61,28,28,50,63,24,13,58,0,0,0,"ka",3
"51","c220",8,1,1,2,49,50,40,38,45,45,14,13,41,44,10,6,44,0,8,1,1,2,43,43,38,38,47,45,19,19,40,42,12,8,42,0,0,0,"ka",3
"52","c301",10,3,2,2,46,45,34,34,54,53,19,19,43,52,15,7,47,0,11,3,2,2,49,49,45,45,48,47,20,20,36,42,12,6,44,0,0,0,"ka",3
